order_item_id,order_id,sku_id,sku_name,category,qty,unit_price,amount
I0001,O0001,SKU07,香薰蜡烛,家居,2,39.00,78.00
I0002,O0001,SKU06,咖啡豆,食品,2,45.00,90.00
I0003,O0002,SKU04,牛仔裤,服饰,1,189.00,189.00
I0004,O0002,SKU10,口红,美妆,1,99.00,99.00
I0005,O0003,SKU06,咖啡豆,食品,1,45.00,45.00
I0006,O0004,SKU10,口红,美妆,2,99.00,198.00
I0007,O0005,SKU06,咖啡豆,食品,2,45.00,90.00
I0008,O0005,SKU07,香薰蜡烛,家居,2,39.00,78.00
I0009,O0006,SKU06,咖啡豆,食品,1,45.00,45.00
I0010,O0007,SKU05,坚果礼盒,食品,2,68.00,136.00
I0011,O0008,SKU01,蓝牙耳机,数码,1,129.00,129.00
I0012,O0008,SKU09,面霜,美妆,1,159.00,159.00
I0013,O0009,SKU01,蓝牙耳机,数码,2,129.00,258.00
I0014,O0009,SKU03,纯棉T恤,服饰,1,79.00,79.00
I0015,O0010,SKU09,面霜,美妆,1,159.00,159.00
I0016,O0010,SKU08,四件套,家居,1,199.00,199.00
I0017,O0010,SKU03,纯棉T恤,服饰,1,79.00,79.00
I0018,O0011,SKU10,口红,美妆,2,99.00,198.00
I0019,O0012,SKU02,机械键盘,数码,1,299.00,299.00
I0020,O0012,SKU10,口红,美妆,2,99.00,198.00
I0021,O0013,SKU07,香薰蜡烛,家居,1,39.00,39.00
I0022,O0013,SKU09,面霜,美妆,1,159.00,159.00
I0023,O0014,SKU05,坚果礼盒,食品,2,68.00,136.00
I0024,O0015,SKU02,机械键盘,数码,1,299.00,299.00
I0025,O0015,SKU09,面霜,美妆,1,159.00,159.00
I0026,O0015,SKU04,牛仔裤,服饰,1,189.00,189.00
I0027,O0016,SKU05,坚果礼盒,食品,1,68.00,68.00
I0028,O0017,SKU03,纯棉T恤,服饰,1,79.00,79.00
I0029,O0017,SKU05,坚果礼盒,食品,1,68.00,68.00
I0030,O0017,SKU02,机械键盘,数码,1,299.00,299.00
I0031,O0018,SKU05,坚果礼盒,食品,2,68.00,136.00
I0032,O0018,SKU09,面霜,美妆,1,159.00,159.00
I0033,O0019,SKU03,纯棉T恤,服饰,1,79.00,79.00
I0034,O0020,SKU02,机械键盘,数码,1,299.00,299.00
I0035,O0021,SKU01,蓝牙耳机,数码,1,129.00,129.00
I0036,O0022,SKU06,咖啡豆,食品,2,45.00,90.00
I0037,O0022,SKU09,面霜,美妆,1,159.00,159.00
I0038,O0023,SKU06,咖啡豆,食品,2,45.00,90.00
